t(ticks) ; nlug ; id_viat ; observ
7731147  ; 1    ; 13230   ; entrou
7731266  ; 0    ; 13230   ; saiu
7731568  ; 1    ; 13223   ; entrou
7731727  ; 1    ; 13226   ; cheio
7731874  ; 1    ; 13229   ; cheio
7732742  ; 0    ; 13223   ; saiu
7733030  ; 1    ; 13235   ; entrou
7733375  ; 1    ; 13228   ; cheio
7733441  ; 1    ; 13239   ; cheio
7734097  ; 1    ; 13240   ; cheio
7734485  ; 0    ; 13235   ; saiu
7736702  ; 1    ; 13237   ; entrou
7737371  ; 0    ; 13237   ; saiu
7742524  ; 1    ; 13243   ; entrou
7742694  ; 1    ; 13242   ; entrou
7742832  ; 1    ; 13243   ; saiu
7742893  ; 1    ; 13241   ; entrou
7742990  ; 1    ; 13242   ; saiu
7743092  ; 0    ; 13241   ; saiu
7744136  ; 1    ; 13247   ; entrou
7744137  ; 1    ; 13246   ; cheio
7744138  ; 1    ; 13249   ; cheio
7744377  ; 0    ; 13247   ; saiu
7744439  ; 1    ; 13244   ; entrou
7744553  ; 0    ; 13244   ; saiu
7745368  ; 1    ; 13254   ; entrou
7745401  ; 1    ; 13251   ; cheio
7745940  ; 1    ; 13248   ; cheio
7746404  ; 1    ; 13253   ; entrou
7746505  ; 1    ; 13254   ; saiu
7746412  ; 1    ; 13257   ; cheio
7746768  ; 1    ; 13259   ; cheio
7747034  ; 0    ; 13253   ; saiu
7747516  ; 1    ; 13262   ; entrou
7747603  ; 1    ; 13260   ; cheio
7747854  ; 0    ; 13262   ; saiu
7748169  ; 1    ; 13265   ; entrou
7748305  ; 0    ; 13265   ; saiu
7748939  ; 1    ; 13261   ; entrou
7750320  ; 1    ; 13245   ; cheio
7750435  ; 1    ; 13258   ; entrou
7750708  ; 1    ; 13261   ; saiu
7751206  ; 0    ; 13258   ; saiu
7751621  ; 1    ; 13264   ; entrou
7753666  ; 1    ; 13267   ; cheio
7753744  ; 1    ; 13263   ; cheio
7754229  ; 1    ; 13266   ; cheio
7755723  ; 0    ; 13264   ; saiu
7758049  ; 1    ; 13268   ; entrou
7758492  ; 1    ; 13270   ; cheio
7758655  ; 1    ; 13271   ; cheio
7758921  ; 0    ; 13268   ; saiu
